Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,hourly,employer_provided,min_salary,max_salary,avg_salary,python,azure,r studio,sql,hadoop,spark,java,sas,tableau,hive,scala,aws,tensorflow,c++,matlab,excel
Data Science & Insights Graduate,$83K - $132K (Glassdoor Est.),"this is your invitation to join us on our mission to build places people really want to be.

welcome to one of australia’s leading property groups. as a stockland graduate, you’ll play a real and enduring role in creating sustainable and vibrant places where millions of australians live, work, shop and play.

our commitment to people and the planet is evident in what we do every day. that means a real devotion to sustainability and an ever-evolving culture of inclusion and empowerment.

you don’t have to have to have studied property to work in property. we’re proud to have one of australia's most flexible graduate programs; putting you in control of your graduate experience and enabling you to explore all that property has to offer.

so, if you’re energised by common purpose, excited by bold and visionary thinking, and driven to learn and grow together with the best in the business then we’d love to hear from you. in return, we’ll invest in you, to support your career and your vision for your future.",4.0,"Stockland
4.0",Sydney,0,0,83000.0,132000.0,107500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analytics Delivery Manager,$83K - $108K (Glassdoor Est.),"hybrid work environment - we flex to thrive
exciting time to join a top 100 asx listed business with big goals.
access to a great selection of benefits and corporate discounts!

we’ve only just begun, but what a beginning. in a once in a generation moment, we’ve brought together powerful brands to create one united force. tpg telecom has a powerhouse of brands which include vodafone, tpg, iinet, internode, lebara, aapt and felix. the latest technology and brave thinking let us connect our people and communities. you could play a role in that. a big one. we invite you to bring your boldness and stand out. you are empowered. opportunities are plenty for those ready to accept the challenge.
this opportunity",3.9,"TPG Telecom
3.9",Sydney,0,0,83000.0,108000.0,95500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (VPSG5),Employer Provided Salary:$105K - $128K,"job description
location: melbourne | cbd
job type: full time
organisation: department of energy, environment and climate action
salary: $105,479 - $127,621
occupation: science
reference: vg/50942074c",4.0,"Department of Energy, Environment and Climate Action",Melbourne,0,1,105000.0,128000.0,116500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$103K - $124K (Glassdoor Est.),"about zeller

at zeller, we’re champions for businesses of all sizes, and proud to be a fast-growing australian scale-up taking on the ambitious goal of reimagining business banking and payments.

we believe in a level playing field, where all businesses benefit from access to smarter payments and financial services solutions that accelerate their cash flow, help them get paid faster, and give them a better understanding of their finances. so we’re hard at work building the tools to make it happen.

zeller is growing fast, backed by leading vcs, and brings together a global team of passionate payment and tech industry professionals. with an exciting roadmap of innovative new products under development, we are building a high performing team to take on the outdated banking solutions. if you are passionate about innovation, thrive in fast-paced environments, embrace a challenge, hate bureaucracy, and can’t think of anything more exciting than disrupting the status-quo, then read on to learn more.",3.0,"Zeller
3.0",Melbourne,0,0,103000.0,124000.0,113500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Employer Provided Salary:$134K - $155K,"data scientist

grade/salary: clerk grade 11/12, $134,411 - $155,445 + superannuation and leave loading
duration: temporary opportunity up until june 2024 with the potential to extend
location: flexible hybrid working from home arrangements, including office-based days in sydney (central), and the opportunity for site/field work.

about the team
id support nsw is looking for a data scientist who can transform business and industry analytics and insights into products and solutions that contribute to identity protection initiatives and drive digital data projects to new heights and success. id support nsw provides easy support services for individuals whose proof of identity credentials are compromised, stolen, or fraudulently used.",4.0,"NSW Government -Department of Customer Service
4.0",Sydney,0,1,134000.0,155000.0,144500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Data Scientist,$100K - $124K (Glassdoor Est.),"melbourne cbd & inner suburbs
full time
about the role:
as a graduate data scientist you will contribute to the growth of scalene by supporting successful delivery of client work as a key member of project delivery teams and by helping to develop and implement internal strategic initiatives. your responsibilities will include:
capture and document client requirements, and then translate them into an analytical roadmap / initiative
prepare and analyse datasets and generate insights to help bring clients along the “project journey”",4.0,Scalene Group,Melbourne,0,0,100000.0,124000.0,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$114K - $165K (Glassdoor Est.),"job number:
92230-134340
work type:
temporary - full time
location:
brisbane
categories:
analyst
location: brisbane
remuneration/benefit: competitive remuneration available
11 month fixed term contract",3.6,"Aurizon
3.6",Brisbane,0,0,114000.0,165000.0,139500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Associate, Data & Analytics",$92K - $101K (Glassdoor Est.),"about qtc
queensland treasury corporation (qtc) has been recognised as one of australia’s best places to work, winning multiple ‘employer of choice’ awards in recent years for professional development, employee benefits and culture.
qtc is queensland’s central financing authority and provides financial, risk management and advisory services for the state. qtc manages the state’s funding program in the global capital markets to deliver sustainable and cost-effective borrowings for the queensland government, local governments and other clients.
qtc protects queensland’s financial interests by helping to deliver innovative, long-term solutions that contribute to the growth of the queensland economy. it delivers better financial outcomes by centralising the management of its clients’ borrowings, cash investments, and foreign exchange requirements.",4.0,"Queensland Treasury Corporation
4.0",Brisbane,0,0,92000.0,101000.0,96500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,$95K - $129K (Glassdoor Est.),"job number:
92080-135415
work type:
permanent - full time
location:
brisbane
categories:
analyst
location: brisbane
remuneration/benefit: competitive remuneration available + bonus incentives
2-3 days/ week wfh available",3.6,"Aurizon
3.6",Brisbane,0,0,95000.0,129000.0,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$103K - $124K (Glassdoor Est.),"melbourne cbd & inner suburbs
full time
about the role
as a data scientist you will contribute to the growth of scalene by supporting successful delivery of client work as a key member of project delivery teams and by helping to develop and implement internal strategic initiatives. your responsibilities include:
capture and document client requirements, and then translate them into an analytical roadmap / initiative
prepare and analyse datasets and generate insights to help bring clients along the “project journey”",4.0,Scalene Group,Melbourne,0,0,103000.0,124000.0,113500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
